<<<<<<< HEAD
﻿state_long,state_short,utility,building_id,latitude,longitude,run_type,savings_year1,annual_energy,npv,year_1_bill,year_2_bill,year_3_bill,year_4_bill,year_5_bill,year_6_bill,year_7_bill,year_8_bill,year_9_bill,year_10_bill,year_11_bill
minnesota,MN,xcel,442412,44.85,-93.03,tmy,1641.727858,8349.672664,-3655.626756,297.7857224,313.2042788,326.7622767,342.1901872,359.0700946,374.0561425,389.7384381,408.7351163,426.7735724,442.6054489,461.8716509
minnesota,MN,xcel,442412,44.85,-93.03,amy,1592.326264,8025.834839,-4268.261049,347.1873158,361.7235471,377.3259073,393.7140052,410.0098387,427.061932,444.7512441,463.354219,483.7159121,505.5943847,527.0743976
newyork,NY,coned,404322,40.68,-74.17,tmy,2916.78593,8293.733218,10839.28973,1997.237371,2053.06092,2127.780962,2196.254346,2268.170408,2341.987685,2417.568118,2492.27029,2574.648736,2643.167915,2732.211907
newyork,NY,coned,404322,40.68,-74.17,amy,2658.834433,7415.452802,7898.635271,2255.188868,2329.243821,2399.734072,2469.686606,2531.688973,2615.158923,2690.789443,2775.882627,2861.262452,2956.760395,3044.500444
ohio,OH,aep,448494,39.99,-82.88,tmy,1292.857013,8038.409887,-7838.031023,646.3008999,669.4540341,692.1950699,716.1972202,740.9155031,766.6274203,793.2743658,820.2613043,848.1908205,876.6884515,906.845233
ohio,OH,aep,448494,39.99,-82.88,amy,1241.348644,7712.409104,-8431.881448,697.809269,722.0299966,745.4418363,770.6302717,796.5879017,823.1285564,850.3883121,878.6605656,907.6527225,938.1301878,969.600057
oregon,OR,pge,67263,45.59,-122.6,tmy,1302.947632,7417.921381,-7024.972795,961.8784383,933.1257726,963.4046295,996.1114655,1027.660549,1060.198595,1096.4231,1129.799969,1164.166383,1200.251293,1236.106414
oregon,OR,pge,67263,45.59,-122.6,amy,1296.911536,7395.314021,-7086.42004,967.9145347,941.8504841,972.8208936,1001.749108,1035.699187,1066.147151,1099.857786,1132.596634,1168.063154,1206.004313,1242.267546
texas,TX,xcel,168160,35.22,-101.71,tmy,1073.172377,10960.58274,-9621.799301,210.2942933,165.1754174,172.5860431,181.2723724,190.0298883,199.2426096,208.9882047,218.8858686,229.0863768,237.9735117,248.1065491
texas,TX,xcel,168160,35.22,-101.71,amy,1086.843466,10866.55816,-9692.829821,196.6232042,175.3949567,182.1649135,189.4123673,198.281883,207.9013394,216.952663,226.8182652,237.1349447,247.064159,257.852321
vermont,VT,gmp,1652,44.47,-73.15,tmy,1555.919313,7727.330211,-4781.060791,923.3917858,955.6888642,987.979101,1019.107618,1052.195311,1086.129641,1122.159703,1158.436342,1195.911407,1234.117324,1273.912211
vermont,VT,gmp,1652,44.47,-73.15,amy,1510.017505,7479.381709,-5303.649329,969.2935945,1001.390369,1032.993241,1067.26563,1101.072669,1136.682902,1172.69166,1210.683786,1248.880765,1287.822719,1328.163909
wisconsin,WI,we_energies,467842,42.95,-87.9,tmy,1395.028215,8290.235093,-6532.595087,484.431016,502.3792887,520.4136548,539.3269778,559.03769,578.9666601,599.7195035,621.073499,642.9674956,665.7076846,689.342612
>>>>>>> f08ea1016cdef73d2a7e1780807f7b678fe806b7
wisconsin,WI,we_energies,467842,42.95,-87.9,amy,1388.525057,8258.175745,-6647.994329,490.9341746,509.2399571,527.3353773,546.2477192,565.869103,586.7490706,608.2863272,630.4415607,653.5134505,677.2579057,701.7721705
